"uid","forename","surname","name_religion","date_birth","date_death","age_death","national_identity","conv","note","namequal","pbirth","pdeath"
 "AC088","Elizabeth","Maddocks ","Frances Xaveria of Divine Providence",NULL,"1805 19 Jan","69 app",NULL,"N",NULL,NULL,"208","315"
 "AC089","Mary","Maddocks","Mary Joseph of the Infant Jesus",NULL,"1806 10 Apr","67",NULL,"N",NULL,NULL,"100","315"
 "AC090","Magdalen",NULL,"Magdalen of the Cross ",NULL,"1630/1 Feb","23",NULL,"N",NULL,"no bapt","835","808"
 "AC091","Helena","Mildmay ","Winefred of the Holy Ghost",NULL,"1676 7 Sep","56",NULL,"N",NULL,NULL,"492","475"
 "AC092","Helen Teresa","Moran ","Mary Francis of St Teresa",NULL,"1818 /6 5 May","74 app",NULL,"N",NULL,NULL,"754","315"
 "AC093","Mary","Morgan","Mary of Jesus",NULL,"1655",NULL,NULL,"N",NULL,NULL,"1185",NULL
 "AC094","Mary","Morgan","Mary Agnes of Jesus",NULL,"1804 26 Feb","72 app",NULL,"N",NULL,NULL,"353","315"
 "AC095","Margaret","Mostyn ","Margaret of Jesus","1625","1679 29 Aug","54",NULL,"N",NULL,NULL,"851","589"
 "AC096","Elizabeth","Mostyn ","Ursula of All Saints","1626","1700 19 Mar","74",NULL,"N",NULL,NULL,"851","589"
 "AC097","Anne","Nettleton ","Ann of St Bartholomew","1621","1691 22 Apr","72",NULL,"N",NULL,NULL,"1478","475"
 "AC098","Elizabeth","Osmund ","Francesca of the Blessed Sacrament","1674","1720 27 Apr","46",NULL,"N",NULL,NULL,"1478","475"
 "AC099","Grace","Palmer ","Magdalen of the Holy Cross","1609","1679 26 Feb","52",NULL,"N",NULL,NULL,"129","475"
 "AC100","Elizabeth","Poulter ","Paula of St Joseph","1613","1672 22 May /28 May","62",NULL,"Y",NULL,NULL,"1366","475"
 "AC101","Catherine","Harris","Alexis of St Winifrid","1622","1684 22 Jun","78",NULL,"N",NULL,NULL,"54","589"
 "AC102","Mary","Powdrell","Mary of Jesus",NULL,"1696 31 Dec/17 Nov","75",NULL,"N",NULL,NULL,"990","589"
 "AC103","Mary","Prater","Mary of Jesus",NULL,"1633 c","41 app",NULL,"N",NULL,NULL,"1006","475"
 "AC104","Margaret","Pye ","Mary Magdalen of St Joseph","1724","1777 7 Jun","53 app","American","N",NULL,NULL,"1267","475"
 "AC105","Joanna","Quirijus  ","Euphrasia of the Infant Jesus",NULL,"1724 12 Jul","40","Dutch","N",NULL,NULL,"974","475"
 "AC106","Agnes Vivine","Rosendell ","Agnes of St Albert","1615","1642 21 Apr ","27 app","Flemish","N",NULL,NULL,"475","475"
 "AC107","Jane","Rutter ","Jane of the Cross",NULL,"1781",NULL,NULL,"N",NULL,NULL,"1423","475"
 "AC108","Adriana ","Schrystyn ","Mary Teresa of S Albert",NULL,"1655 11 Nov","44","Hollander","N",NULL,NULL,"187","475"
 "AC109"," Catherine","Shelly","Catherine of St Joseph",NULL,NULL,NULL,NULL,"N",NULL,NULL,"353",NULL
 "AC110","Ursula","Short ","Ursula Mary of St Joseph",NULL,"1755",NULL,NULL,"N",NULL,NULL,"623","475"
 "AC111","Ann","Smith ","Mary Anne of Jesus",NULL,"1629 end of Apr","29",NULL,"N",NULL,NULL,"623","475"
 "AC112","Margaret","Smythe ","Mary Xaveria of the Angels","1697","1777",NULL,NULL,"N",NULL,NULL,"812",NULL
