"uid","relationship","pid"
 "LA254","17","3823"
 "LA251","1","2441"
 "LA251","17","3298"
 "LA249","1","1475"
 "LA249","17","982"
 "LA248","17","982"
 "LA248","1","1475"
 "LA013","19","3600"
 "LA185","17","3927"
 "LA242","1","2618"
 "LA242","17","1152"
 "LA241","1","2633"
 "LA241","17","3868"
 "LA237","1","1470"
 "LA237","17","954"
 "LA236","1","675"
 "LA236","17","3708"
 "LA235","1","145"
 "LA235","17","3657"
 "LA232","1","2769"
 "LA232","17","2823"
 "LA230","1","1865"
 "LA230","17","1542"
 "LA229","17","3765"
 "LA224","1","2339"
 "LA224","17","467"
 "LA222","1","3349"
 "LA222","17","1141"
 "LA219","1","1446"
 "LA218","1","3132"
 "LA219","17","491"
 "LA218","17","3283"
 "LA217","1","3132"
 "LA217","17","3283"
 "LA216","17","3042"
 "LA215","17","3042"
 "LA214","1","2778"
 "LA214","17","1749"
 "LA212","17","1017"
 "LA211","17","1017"
 "LA209","1","2187"
 "LA209","17","1540"
 "LA208","1","2187"
 "LA208","17","1540"
 "LA207","1","2518"
 "GB017","1","1687"
 "LA206","1","1933"
 "LA206","17","2841"
 "LA203","1","883"
 "LA203","17","1571"
 "LA200","1","4100"
 "GB180","18","4102"
 "LA197","17","2076"
 "LA198","17","3763"
 "LA196","1","1385"
 "LA196","17","3480"
 "LA195","1","571"
 "LA195","17","1602"
 "LA194","17","30"
 "LA190","17","3761"
 "LA189","1","2481"
 "LA189","17","2068"
 "LA188","17","1600"
 "LA187","1","838"
 "LA187","17","767"
 "LA152","17","3929"
 "LA183","1","2342"
 "LA183","17","3269"
 "LA181","17","3268"
 "LA181","1","2269"
 "LA178","1","2538"
 "LA177","1","2538"
 "LA178","17","3267"
 "LA177","17","3267"
 "LA171","17","2793"
 "LA173","17","61"
 "LA169","17","1833"
 "LA166","1","1188"
 "LA166","17","2958"
 "LA165","17","3839"
 "LA164","1","1044"
 "LA164","17","3059"
 "LA172","4","154"
 "LA158","17","2047"
 "LA153","1","1428"
 "LA153","17","2045"
 "LA146","17","3733"
 "LA140","1","2215"
 "LA127","21","1733"
 "LA133","17","3450"
 "LA131","17","3245"
 "LA129","17","1569"
 "LA127","1","2638"
 "LA127","17","3676"
 "LA125","17","1771"
 "BB050","1","4038"
 "LA124","1","623"
 "LA124","17","1587"
 "LA123","17","2895"
 "LA122","1","1304"
 "LA122","17","1517"
 "LA121","1","918"
 "LA121","17","513"
 "LA115","1","2581"
 "LA115","17","1515"
 "LA114","1","2773"
 "LA114","17","1109"
 "LA113","17","1823"
 "LA110","1","526"
 "LA109","1","526"
 "LA110","17","3229"
 "LA109","17","3229"
 "LA108","1","1327"
 "LA108","17","2940"
 "LA107","1","1453"
 "LA107","17","2847"
 "LA106","1","2876"
 "LA106","17","3372"
 "LA105","1","2876"
 "LA105","17","3372"
 "LA104","1","477"
 "LA104","17","827"
 "LA103","1","477"
 "LA103","17","827"
 "LA097","1","1659"
 "LA097","17","3695"
 "LA094","1","2884"
 "LA094","17","2938"
 "LA093","17","1585"
 "LA091","1","3358"
 "LA092","17","3799"
 "LA091","17","1724"
 "LA090","17","3207"
 "LA090","1","2334"
 "LA089","1","2334"
 "LA089","17","3207"
 "LA088","17","2691"
 "LA085","17","466"
 "LA125","1","3931"
 "LA079","1","2765"
 "LA078","1","1276"
 "LA077","1","1483"
 "LA078","17","3196"
 "LA077","17","3691"
 "LA076","1","730"
 "LA073","1","2244"
 "LA076","17","2894"
 "LA073","17","3415"
 "LA072","17","3415"
 "LA072","1","2244"
 "BA073","1","3950"
 "LA071","17","760"
 "LA070","1","2461"
 "LA070","17","184"
 "LA068","1","559"
 "LA066","1","709"
 "LA068","17","1991"
 "LA066","17","3783"
 "LA063","1","1785"
 "LA065","17","1510"
 "LA063","17","3370"
 "BF107","17","4148"
 "LA060","17","1987"
 "LA060","1","2284"
 "LA059","18","1713"
 "LA059","1","2631"
 "LA059","17","2110"
 "LA058","1","2270"
 "LA058","17","62"
 "LA056","17","1712"
 "LA053","1","617"
 "LA053","17","3410"
 "LA052","1","617"
 "LA052","17","3410"
 "BB063","20","3688"
 "LA051","1","617"
 "LA051","17","3410"
 "LA050","1","617"
 "LA050","17","3410"
 "LA049","1","2202"
 "LA049","17","3189"
 "LA047","1","1254"
 "LA047","17","1974"
 "LA046","1","2699"
 "LA046","17","778"
 "LA042","17","3648"
 "LA041","1","1920"
 "LA041","17","364"
 "LA040","1","888"
 "LA040","17","3671"
 "LA039","17","1580"
 "BF250","20","3592"
 "LA036","17","3396"
 "LA142","1","4019"
 "LA029","1","593"
 "LA029","17","3170"
 "LA028","1","1302"
 "LA028","17","2396"
 "LA027","1","2873"
 "LA027","17","501"
 "LA023","1","2197"
 "LA023","17","1501"
 "CB054","17","3980"
 "LA020","1","3962"
 "LA017","1","2351"
 "LA017","17","3165"
 "LA016","17","1705"
 "LA015","1","872"
 "LA015","17","2999"
 "LA014","1","872"
 "LA014","17","2999"
 "LA013","1","1657"
 "LA013","17","3392"
 "LA012","1","166"
 "LA012","17","3861"
 "LA008","1","928"
 "LA008","17","1764"
 "LA005","1","464"
 "LA005","17","971"
 "LA003","1","1392"
 "LA003","17","1574"
 "LA002","1","1392"
 "LA002","17","1574"
 "LA301","1","1643"
 "LA302","17","3330"
 "LA302","1","1892"
 "LA303","17","3330"
 "LA303","1","1892"
 "LA304","17","3852"
 "LA304","1","1783"
 "LA305","17","3332"
 "LA305","1","1335"
 "LA308","17","2802"
 "LA309","17","2395"
 "LA311","17","3337"
 "LA311","1","1880"
 "LA312","17","3337"
 "LA312","1","1880"
 "LA318","17","4057"
 "LA313","1","2425"
 "LA315","17","3337"
 "LA315","1","1880"
 "LA317","17","2993"
 "LA317","1","2251"
 "AC143","17","4058"
 "LA318","1","2425"
 "LA319","17","3337"
 "LA319","1","1880"
 "BB002","17","3746"
 "BB002","1","714"
 "BB003","17","3746"
 "BB003","1","714"
 "BB004","17","3156"
 "BB004","1","573"
 "BB005","17","3156"
 "BB005","1","573"
 "BB006","17","3948"
 "BB006","1","1495"
 "RP166","1","2623"
 "BB011","17","350"
 "BB012","17","342"
 "BB013","17","1939"
 "BB013","1","1252"
 "BB014","17","3171"
 "BB015","17","3749"
 "BB017","17","3375"
 "BB017","1","1219"
 "BB018","17","126"
 "BB018","1","2463"
 "BB019","17","328"
 "BB020","17","447"
 "BB020","1","2413"
 "BB021","17","3003"
 "BB022","17","3003"
 "BB023","17","942"
 "BB023","1","556"
 "BB024","17","1579"
 "BB025","17","3400"
 "BB027","17","364"
 "LS223","17","4004"
 "BB029","17","1024"
 "BB030","17","1940"
 "BB030","1","1220"
 "BB031","17","1940"
 "BB031","1","1220"
 "BB032","17","246"
 "BA096","1","3946"
 "BB033","17","172"
 "BB033","1","622"
 "BB034","17","3185"
 "BB035","17","779"
 "BB035","1","2439"
 "BB036","17","216"
 "BB037","17","216"
 "BB038","17","3409"
 "BB039","17","237"
 "BB040","17","3414"
 "BB040","1","581"
 "BB041","17","973"
 "BB041","1","2399"
 "BB042","17","279"
 "BB042","1","1376"
 "BB043","17","287"
 "BB044","17","279"
 "BB044","1","1376"
 "BB045","17","1941"
 "BB045","1","1926"
 "BB046","17","3862"
 "BB046","1","1869"
 "BB047","17","1637"
 "BB048","1","4109"
 "BB048","17","1637"
 "BB043","18","250"
 "BB050","18","250"
 "BB051","17","3693"
 "BB051","1","551"
 "BB052","17","3693"
 "BB052","1","551"
 "BB053","17","3653"
 "BB053","1","1366"
 "BB054","17","3653"
 "BB054","1","1366"
 "BB055","17","1996"
 "BB055","1","2709"
 "BB056","17","3422"
 "BB057","17","3422"
 "BB058","17","291"
 "BB059","17","1092"
 "BB059","1","987"
 "BB060","17","1092"
 "BB060","1","987"
 "BB061","17","292"
 "PA205","17","4169"
 "BB189","17","2735"
 "BB063","17","1418"
 "BB063","1","2579"
 "BB064","17","3805"
 "BB064","1","1180"
 "BB065","17","2002"
 "BB066","17","2002"
 "BB067","17","1816"
