"uid1","idx","uid2"
 "BF077","1","BF075"
 "BF074","1","BF075"
 "BF074","1","BF076"
 "BF075","1","BF076"
 "BA040","1","AC020"
 "BA040","1","AC139"
 "AC139","1","AC020"
 "GP100","1","GP101"
 "BB003","1","BB002"
 "BB141","1","BB140"
 "BB121","1","BB117"
 "BB118","1","BB120"
 "BB118","1","BB119"
 "BB120","1","BB119"
 "BB004","1","BB005"
 "BB021","1","BB022"
 "BB030","1","BB031"
 "BB036","1","BB037"
 "BB042","1","BB044"
 "BB052","3","LA294"
 "BB052","3","BB166"
 "BB051","3","BB166"
 "BB051","3","LA294"
 "BB166","3","LA294"
 "BB069","1","BB068"
 "BB076","1","BB077"
 "BB117","2","BB118"
 "BB121","2","BB118"
 "BB117","2","BB119"
 "BB121","2","BB119"
 "BB121","2","BB120"
 "BB117","2","BB120"
 "BB164","1","BB162"
 "BB173","1","BB174"
 "BB166","2","GB208"
 "GP003","1","GP004"
 "GP003","1","GP005"
 "GP003","1","GP006"
 "GP004","1","GP005"
 "GP004","1","GP006"
 "GP006","1","GP005"
 "GP009","1","GP008"
 "GP009","1","GP010"
 "GP009","1","GP012"
 "GP019","1","GP020"
 "GP041","2","GB021"
 "GP036","2","GB021"
 "GP037","7","GB021"
 "GP039","7","GB021"
 "GP041","2","GB022"
 "GP036","2","GB022"
 "GP037","7","GB022"
 "GP039","7","GB022"
 "GP036","1","GP041"
 "GP037","2","GP036"
 "GP039","2","GP036"
 "GP036","2","GP038"
 "GP036","2","GP040"
 "GP036","2","GP042"
 "GP041","2","GP038"
 "GP037","7","GP038"
 "GP039","7","GP038"
 "GP037","1","GP039"
 "GP037","2","GP041"
 "GP037","7","GP040"
 "GP037","7","GP042"
 "GP039","2","GP041"
 "GP039","7","GP040"
 "GP039","7","GP042"
 "GP041","2","GP040"
 "GP041","2","GP042"
 "GP047","1","GP045"
 "GP047","1","GP048"
 "GP047","2","GP046"
 "GP047","2","GP037"
 "GP047","2","GP039"
 "GP047","7","GP041"
 "GP047","7","GP036"
 "GP048","1","GP045"
 "GP048","2","GP046"
 "GP048","2","GP037"
 "GP048","2","GP039"
 "GP048","7","GP041"
 "GP048","7","GP036"
 "GP045","2","GP046"
 "GP045","2","GP037"
 "GP045","2","GP039"
 "GP045","7","GP041"
 "GP045","7","GP036"
 "GP046","3","GP037"
 "GP046","3","GP039"
 "GP052","1","GP051"
 "GP071","1","GP081"
 "GP071","1","GP076"
 "GP071","1","GP077"
 "GP071","7","GP072"
 "GP071","7","GP078"
 "GP072","1","GP078"
 "GP081","7","GP072"
 "GP076","7","GP072"
 "GP077","7","GP072"
 "GP073","1","GP079"
 "GP076","1","GP081"
 "GP076","1","GP077"
 "GP076","7","GP078"
 "GP077","1","GP081"
 "GP077","7","GP078"
 "GP081","7","GP078"
 "GP091","1","GP092"
 "GP046","2","GP095"
 "GP045","7","GP095"
 "GP047","7","GP095"
 "GP048","7","GP095"
 "GP046","2","GP096"
 "GP045","7","GP096"
 "GP047","7","GP096"
 "GP048","7","GP096"
 "GP054","1","GP049"
 "BD016","8","GP058"
 "BD015","8","GP058"
 "GP075","3","GP071"
 "GP075","3","GP081"
 "GP075","3","GP076"
 "GP075","3","GP077"
 "GP133","7","GP130"
 "GP132","2","GP134"
 "GP133","7","GP132"
 "GP136","1","GP137"
 "GP136","1","GP139"
 "GP136","1","GP140"
 "GP137","1","GP139"
 "GP137","1","GP140"
 "GP139","1","GP140"
 "BD020","8","LA107"
 "GP164","1","GP165"
 "GP194","1","GP195"
 "GP217","1","GP218"
 "GP217","1","GP219"
 "GP218","1","GP219"
 "GP285","7","GP286"
 "GP071","2","GP286"
 "GP081","2","GP286"
 "GP076","2","GP286"
 "GP077","2","GP286"
 "GP008","3","GP048"
 "GP008","3","GP047"
 "GP008","3","GP045"
 "GP009","3","GP045"
 "GP009","3","GP047"
 "GP009","3","GP048"
 "GP010","3","GP045"
 "GP010","3","GP047"
 "GP010","3","GP048"
 "GP045","3","GP012"
 "GP047","3","GP012"
 "GP048","3","GP012"
 "GP016","2","GP017"
 "GB197","7","GP019"
 "GP299","1","GP300"
 "GP073","2","GP144"
 "GP079","2","GP144"
 "GP249","1","GP250"
 "GP270","3","GP008"
 "GP270","3","GP009"
 "GP270","3","GP010"
